Lesson ID,Level,English Title,Field,Kannada Text
9,level0,Common Mistakes,kannadaTitle,ಸಾಮಾನ್ಯ ತಪ್ಪುಗಳು
9,level0,Common Mistakes,kannadaExplanation,ಈ ಸಾಮಾನ್ಯ ಪ್ರಾರಂಭಿಕ ತಪ್ಪುಗಳನ್ನು ತಪ್ಪಿಸಿಕೊಳ್ಳಿ.
10,level0,Foundation Test,kannadaTitle,ಪ್ರಾಥಮಿಕ ಪರೀಕ್ಷೆ
10,level0,Foundation Test,kannadaExplanation,Level 1 ಗೆ ಹೋಗುವ ಮೊದಲು ನಿಮ್ಮ ಪ್ರಾಥಮಿಕ ಜ್ಞಾನವನ್ನು ಪರೀಕ್ಷಿಸಿ.
1,level1,Greetings,kannadaTitle,ನಮಸ್ಕಾರಗಳು
1,level1,Greetings,kannadaExplanation,ದಿನದ ವಿವಿಧ ಸಮಯಗಳಿಗೆ ಪ್ರಾಥಮಿಕ ನಮಸ್ಕಾರಗಳನ್ನು ಕಲಿಯಿರಿ.
2,level1,Self-Introduction,kannadaTitle,ಸ್ವಪರಿಚಯ
2,level1,Self-Introduction,kannadaExplanation,ಇಂಗ್ಲಿಷ್‌ನಲ್ಲಿ ನಿಮ್ಮನ್ನು ಪರಿಚಯಿಸಿಕೊಳ್ಲು ಕಲಿಯಿರಿ.
3,level1,This / That / These / Those,kannadaTitle,ಇದು / ಅದು / ಇವು / ಅವು
3,level1,This / That / These / Those,kannadaExplanation,ಹತ್ತಿರ ಮತ್ತು ದೂರದ ವಸ್ತುಗಳನ್ನು ತೋರಿಸಿ ವಿವರಿಸಲು ಕಲಿಯಿರಿ.
4,level1,I Have / I Need,kannadaTitle,ನನಗಿದೆ / ನನಗಿದು ಬೇಕು
4,level1,I Have / I Need,kannadaExplanation,ನಿಮಗಿರುವುದನ್ನು ಮತ್ತು ನಿಮಗಿರುವುದನ್ನು ವ್ಯಕ್ತಪಡಿಸಿ.
5,level1,I Like / I Do Not Like,kannadaTitle,ನನಗೆ ಇಷ್ಟ / ನನಗೆ ಇಷ್ಟವಿಲ್ಲ
5,level1,I Like / I Do Not Like,kannadaExplanation,ನಿಮ್ಮ ಇಷ್ಟ ಮತ್ತು ಅಸಮ್ಮತಿಯನ್ನು ವ್ಯಕ್ತಪಡಿಸಿ.
6,level1,Can / Cannot,kannadaTitle,ಸಾಧ್ಯ / ಅಸಾಧ್ಯ
6,level1,Can / Cannot,kannadaExplanation,ಸಾಮರ್ಥ್ಯ ಮತ್ತು ಸಾಧ್ಯತೆಗಳ ಬಗ್ಗೆ ಮಾತನಾಡಿ.
7,level1,Polite Requests,kannadaTitle,ವಿನಮ್ರವಾದ ವಿನಂತಿಗಳು
7,level1,Polite Requests,kannadaExplanation,ವಿಷಯಗಳನ್ನು ವಿನಮ್ರವಾಗಿ ಕೇಳಲು ಕಲಿಯಿರಿ.
8,level1,Basic Questions,kannadaTitle,ಪ್ರಾಥಮಿಕ ಪ್ರಶ್ನೆಗಳು
8,level1,Basic Questions,kannadaExplanation,ಪ್ರಾಥಮಿಕ ಪ್ರಶ್ನೆಗಳನ್ನು ಕೇಳಲು ಮತ್ತು ಉತ್ತರಿಸಲು ಕಲಿಯಿರಿ.
9,level1,Numbers and Counting,kannadaTitle,ಸಂಖ್ಯೆಗಳು ಮತ್ತು ಎಣಿಕೆ
9,level1,Numbers and Counting,kannadaExplanation,1-20 ಸಂಖ್ಯೆಗಳು ಮತ್ತು ಪ್ರಾಥಮಿಕ ಎಣಿಕೆಯನ್ನು ಕಲಿಯಿರಿ.
10,level1,Days of the Week,kannadaTitle,ವಾರದ ದಿನಗಳು
10,level1,Days of the Week,kannadaExplanation,ವಾರದ ಏಳು ದಿನಗಳನ್ನು ಕಲಿಯಿರಿ.
11,level1,Revision Role-play,kannadaTitle,ಪುನರಾವಲೋಕನ ಪಾತ್ರ-ನಿರ್ವಹಣ
11,level1,Revision Role-play,kannadaExplanation,ಸಂಭಾಷಣೆಯಲ್ಲಿ ನೀವು ಕಲಿತ ಎಲ್ಲವನ್ನೂ ಅಭ್ಯಾಸ ಮಾಡಿ.
12,level1,Level 1 Test,kannadaTitle,Level 1 ಪರೀಕ್ಷೆ
12,level1,Level 1 Test,kannadaExplanation,ನಿಮ್ಮ ಸರ್ವೈವಲ್ ಇಂಗ್ಲಿಷ್ ಜ್ಞಾನವನ್ನು ಪರೀಕ್ಷಿಸಿ.
1,level2,Present Simple Tense - I/You/We/They,kannadaTitle,ವರ್ತಮಾನ ಕಾಲ - I/You/We/They
1,level2,Present Simple Tense - I/You/We/They,kannadaExplanation,"I, you, we, they ಗೆ ವರ್ತಮಾನ ಕಾಲದಲ್ಲಿ 'do' ಬಳಸಿ."
2,level2,Present Simple Tense - He/She/It,kannadaTitle,ವರ್ತಮಾನ ಕಾಲ - He/She/It
2,level2,Present Simple Tense - He/She/It,kannadaExplanation,"he, she, it ಗೆ 'does' ಬಳಸಿ. ಕ್ರಿಯಾಪದಗಳಿಗೆ 'es' ಅಥವಾ 's' ಸೇರಿಸಿ."
3,level2,Present Simple - Negative Sentences,kannadaTitle,ವರ್ತಮಾನ ಕಾಲ - ನಕಾರಾತ್ಮಕ ವಾಕ್ಯಗಳು
3,level2,Present Simple - Negative Sentences,kannadaExplanation,ನಕಾರಾತ್ಮಕಕ್ಕೆ 'do not' ಅಥವಾ 'don't' ಬಳಸಿ. he/she/it ಗೆ 'does not' ಅಥವಾ 'doesn't' ಬಳಸಿ.
4,level2,Present Simple - Questions,kannadaTitle,ವರ್ತಮಾನ ಕಾಲ - ಪ್ರಶ್ನೆಗಳು
4,level2,Present Simple - Questions,kannadaExplanation,I/you/we/they ಗೆ 'Do' ದಿಂದ ಪ್ರಾರಂಭಿಸಿ. he/she/it ಗೆ 'Does' ದಿಂದ ಪ್ರಾರಂಭಿಸಿ.
5,level2,"Question Words - What, Where, When",kannadaTitle,"ಪ್ರಶ್ನಾರ್ಥಕ ಪದಗಳು - What, Where, When"
5,level2,"Question Words - What, Where, When",kannadaExplanation,ನಿರ್ದಿಷ್ಟ ಪ್ರಶ್ನೆಗಳನ್ನು ಕೇಳಲು ಪ್ರಶ್ನಾರ್ಥಕ ಪದಗಳನ್ನು ಬಳಸಿ.
6,level2,"Question Words - Who, Why, How",kannadaTitle,"ಪ್ರಶ್ನಾರ್ಥಕ ಪದಗಳು - Who, Why, How"
6,level2,"Question Words - Who, Why, How",kannadaExplanation,ವಿವಿಧ ರೀತಿಯ ಪ್ರಶ್ನೆಗಳಿಗೆ ಹೆಚ್ಚಿನ ಪ್ರಶ್ನಾರ್ಥಕ ಪದಗಳು.
7,level2,Daily Routines - Morning,kannadaTitle,ದೈನಂದಿನ ಕಾರ್ಯಗಳು - ಬೆಳಿಗೆ
7,level2,Daily Routines - Morning,kannadaExplanation,ನೀವು ಬೆಳಿಗೆ ಏನು ಮಾಡುತ್ತೀರಿ ಎಂದು ಹೇಳಿ.
8,level2,Daily Routines - Afternoon/Evening,kannadaTitle,ದೈನಂದಿನ ಕಾರ್ಯಗಳು - ಮಧ್ಯಾಹ್ನ/ಸಾಯಂಕಾಲ
8,level2,Daily Routines - Afternoon/Evening,kannadaExplanation,ಮಧ್ಯಾಹ್ನ ಮತ್ತು ಸಾಯಂಕಾಲದ ಚಟುವಟಿಕೆಗಳ ಬಗ್ಗೆ ಹೇಳಿ.
9,level2,Frequency Words,kannadaTitle,ಆವರ್ತನ ಪದಗಳು
9,level2,Frequency Words,kannadaExplanation,ಏನಾದರೂ ಎಷ್ಟು ಬಾರಿ ಸಂಭವಿಸುತ್ತದೆ ಎಂದು ಹೇಳುವ ಪದಗಳು.
10,level2,Subject-Verb Agreement,kannadaTitle,ಕರ್ತ-ಕ್ರಿಯಾಪದ ಒಪ್ಪಂದ
10,level2,Subject-Verb Agreement,kannadaExplanation,ಕ್ರಿಯಾಪದಗಳು ತಮ್ಮ ಕರ್ತೃಪದಗಳೊಂದಿಗೆ ಸಂಖ್ಯೆ ಮತ್ತು ಪುರುಷದಲ್ಲಿ ಒಪ್ಪಂದವಾಗಬೇಕು.
11,level2,There is / There are,kannadaTitle,There is / There are
11,level2,There is / There are,kannadaExplanation,ಏಕವಚನಕ್ಕೆ 'there is' ಮತ್ತು ಬಹುವಚನಕ್ಕೆ 'there are' ಬಳಸಿ.
12,level2,Have / Has,kannadaTitle,Have / Has
12,level2,Have / Has,kannadaExplanation,"I/you/we/they ಗೆ 'have', he/she/it ಗೆ 'has' ಬಳಸಿ."
13,level2,Prepositions of Time,kannadaTitle,ಕಾಲದ ಉಪಸರ್ಗಗಳು
13,level2,Prepositions of Time,kannadaExplanation,"ವಿವಿಧ ಕಾಲ ವ್ಯಕ್ತಪಡಿಸಲು 'in', 'on', 'at' ಬಳಸಿ."
14,level2,Prepositions of Place,kannadaTitle,ಸ್ಥಳದ ಉಪಸರ್ಗಗಳು
14,level2,Prepositions of Place,kannadaExplanation,"ವಿವಿಧ ಸ್ಥಳ ವ್ಯಕ್ತಪಡಿಸಲು 'in', 'on', 'at' ಬಳಸಿ."
15,level2,Level 2 Test,kannadaTitle,Level 2 ಪರೀಕ್ಷೆ
15,level2,Level 2 Test,kannadaExplanation,ನಿಮ್ಮ ಮೂಲಭೂತ ವ್ಯಾಕರಣ ಜ್ಞಾನವನ್ನು ಪರೀಕ್ಷಿಸಿ.
1,level3,Present Continuous Tense,kannadaTitle,ವರ್ತಮಾನ ನಿರಂತರ ಕಾಲ
1,level3,Present Continuous Tense,kannadaExplanation,ಈಗ ನಡೆಯುತ್ತಿರುವ ಕ್ರಿಯೆಗಳಿಗೆ 'am/is/are + verb-ing' ಬಳಸಿ.
2,level3,Present Continuous - Negative,kannadaTitle,ವರ್ತಮಾನ ನಿರಂತರ ಕಾಲ - ನಕಾರಾತ್ಮಕ
2,level3,Present Continuous - Negative,kannadaExplanation,ನಕಾರಾತ್ಮಕಕ್ಕೆ 'am not/is not/are not + verb-ing' ಬಳಸಿ.
3,level3,Present Continuous - Questions,kannadaTitle,ವರ್ತಮಾನ ನಿರಂತರ ಕಾಲ - ಪ್ರಶ್ನೆಗಳು
3,level3,Present Continuous - Questions,kannadaExplanation,ಪ್ರಶ್ನೆಗಳಿಗೆ 'Am/Are/Is + subject + verb-ing' ಬಳಸಿ.
4,level3,Family Members,kannadaTitle,ಕುಟುಂಬದ ಸದಸ್ಯರು
4,level3,Family Members,kannadaExplanation,ಕುಟುಂಬದ ಸದಸ್ಯರಿಗಾಗಿ ಶಬ್ದಕೋಶವನ್ನು ಕಲಿಯಿರಿ.
5,level3,Describing Family,kannadaTitle,ಕುಟುಂಬವನ್ನು ವಿವರಿಸುವುದು
5,level3,Describing Family,kannadaExplanation,ನಿಮ್ಮ ಕುಟುಂಬದ ಸದಸ್ಯರು ಮತ್ತು ಅವರ ವೃತ್ತಿಗಳ ಬಗ್ಗೆ ಮಾತನಾಡಿ.
6,level3,Home and Rooms,kannadaTitle,ಮನೆ ಮತ್ತು ಕೋಣೆಗಳು
6,level3,Home and Rooms,kannadaExplanation,ಮನೆಯ ವಿವಿಧ ಕೋಣೆಗಳಿಗಾಗಿ ಶಬ್ದಕೋಶವನ್ನು ಕಲಿಯಿರಿ.
7,level3,Household Items,kannadaTitle,ಗೃಹೋಪಯೋಗಿ ವಸ್ತುಗಳು
7,level3,Household Items,kannadaExplanation,ಮನೆಯಲ್ಲಿ ಸಾಮಾನ್ಯವಾಗಿ ಕಾಣುವ ವಸ್ತುಗಳು.
8,level3,Polite Requests,kannadaTitle,ವಿನಮ್ರವಾದ ವಿನಂತಿಗಳು
8,level3,Polite Requests,kannadaExplanation,ಮನೆಯಲ್ಲಿ ವಿಷಯಗಳನ್ನು ವಿನಮ್ರವಾಗಿ ಕೇಳುವುದು ಹೇಗೆ.
9,level3,Asking for Help,kannadaTitle,ಸಹಾಯ ಕೇಳುವುದು
9,level3,Asking for Help,kannadaExplanation,ನಿಮಗೆ ಸಹಾಯ ಬೇಕಾದಾಗ ಹೇಗೆ ಕೇಳಬೇಕು.
10,level3,Daily Activities at Home,kannadaTitle,ಮನೆಯಲ್ಲಿ ದೈನಂದಿನ ಚಟುವಟಿಕೆಗಳು
10,level3,Daily Activities at Home,kannadaExplanation,ವರ್ತಮಾನ ನಿರಂತರ ಕಾಲವನ್ನು ಬಳಸಿ ನೀವು ಮನೆಯಲ್ಲಿ ಏನು ಮಾಡುತ್ತೀರಿ ಎಂದು ಹೇಳಿ.
11,level3,Present Simple vs Present Continuous,kannadaTitle,ವರ್ತಮಾನ ಕಾಲ vs ವರ್ತಮಾನ ನಿರಂತರ ಕಾಲ
11,level3,Present Simple vs Present Continuous,kannadaExplanation,ಅಭ್ಯಾಸಗಳು (ವರ್ತಮಾನ ಕಾಲ) ಮತ್ತು ಪ್ರಸ್ತುತ ಕ್ರಿಯೆಗಳ (ವರ್ತಮಾನ ನಿರಂತರ ಕಾಲ) ನಡುವಿನ ವ್ಯತ್ಯಾಸ.
12,level3,Level 3 Test,kannadaTitle,Level 3 ಪರೀಕ್ಷೆ
12,level3,Level 3 Test,kannadaExplanation,ನಿಮ್ಮ ದೈನಂದಿನ ಜೀವನ ಇಂಗ್ಲಿಷ್ ಜ್ಞಾನವನ್ನು ಪರೀಕ್ಷಿಸಿ.
1,level4,Past Simple Tense - Regular Verbs,kannadaTitle,ಭೂತಕಾಲ - ನಿಯಮಿತ ಕ್ರಿಯಾಪದಗಳು
1,level4,Past Simple Tense - Regular Verbs,kannadaExplanation,ನಿಯಮಿತ ಕ್ರಿಯಾಪದಗಳಿಗೆ ಭೂತಕಾಲದಲ್ಲಿ '-ed' ಸೇರಿಸಿ.
2,level4,Past Simple Tense - Irregular Verbs,kannadaTitle,ಭೂತಕಾಲ - ಅನಿಯಮಿತ ಕ್ರಿಯಾಪದಗಳು
2,level4,Past Simple Tense - Irregular Verbs,kannadaExplanation,ಅನಿಯಮಿತ ಕ್ರಿಯಾಪದಗಳು ವಿಶೇಷ ಭೂತಕಾಲ ರೂಪಗಳನ್ನು ಹೊಂದಿವೆ.
3,level4,Past Simple - Negative,kannadaTitle,ಭೂತಕಾಲ - ನಕಾರಾತ್ಮಕ
3,level4,Past Simple - Negative,kannadaExplanation,ನಕಾರಾತ್ಮಕಕ್ಕೆ 'did not' ಅಥವಾ 'didn't' + ಮೂಲ ಕ್ರಿಯಾಪದ ಬಳಸಿ.
4,level4,Past Simple - Questions,kannadaTitle,ಭೂತಕಾಲ - ಪ್ರಶ್ನೆಗಳು
4,level4,Past Simple - Questions,kannadaExplanation,ಪ್ರಶ್ನೆಗಳಿಗೆ 'Did' + subject + ಮೂಲ ಕ್ರಿಯಾಪದ ಬಳಸಿ.
5,level4,Future with Will,kannadaTitle,Will ನೊಂದಿಗೆ ಭವಿಷ್ಯತ್
5,level4,Future with Will,kannadaExplanation,ಭವಿಷ್ಯ ಭಾವನೆಗಳಿಗೆ ಮತ್ತು ಸ್ವಯಂಚಾಲಿತ ನಿರ್ಧಾರಗಳಿಗೆ 'will' + ಮೂಲ ಕ್ರಿಯಾಪದ ಬಳಸಿ.
6,level4,Future with Going To,kannadaTitle,Going To ನೊಂದಿಗೆ ಭವಿಷ್ಯತ್
6,level4,Future with Going To,kannadaExplanation,ಯೋಜಿತ ಕ್ರಿಯೆಗಳಿಗೆ ಮತ್ತು ಸಾಕ್ಷ್ಯದ ಆಧಾರದ ಮೇಲೆ ಭವಿಷ್ಯಕ್ಕೆ 'am/is/are going to + verb' ಬಳಸಿ.
7,level4,Time Expressions - Past,kannadaTitle,ಕಾಲ ವ್ಯಕ್ತಪಡಿಕೆ - ಭೂತಕಾಲ
7,level4,Time Expressions - Past,kannadaExplanation,ಭೂತಕಾಲದ ಬಗ್ಗೆ ಮಾತನಾಡಲು ಬಳಸುವ ಪದಗಳು.
8,level4,Time Expressions - Future,kannadaTitle,ಕಾಲ ವ್ಯಕ್ತಪಡಿಕೆ - ಭವಿಷ್ಯತ್
8,level4,Time Expressions - Future,kannadaExplanation,ಭವಿಷ್ಯದ ಬಗ್ಗೆ ಮಾತನಾಡಲು ಬಳಸುವ ಪದಗಳು.
9,level4,Past vs Present vs Future,kannadaTitle,ಭೂತ vs ವರ್ತಮಾನ vs ಭವಿಷ್ಯ
9,level4,Past vs Present vs Future,kannadaExplanation,"ಭೂತ, ವರ್ತಮಾನ, ಮತ್ತು ಭವಿಷ್ಯದ ನಡುವಿನ ವ್ಯತ್ಯಾಸವನ್ನು ಅರ್ಥಮಾಡಿಕೊಳ್ಳುವುದು."
10,level4,Level 4 Test,kannadaTitle,Level 4 ಪರೀಕ್ಷೆ
10,level4,Level 4 Test,kannadaExplanation,ನಿಮ್ಮ ಭೂತ ಮತ್ತು ಭವಿಷ್ಯ ಜ್ಞಾನವನ್ನು ಪರೀಕ್ಷಿಸಿ.
1,level5,Shopping Vocabulary,kannadaTitle,ಶಾಪಿಂಗ್ ಶಬ್ದಕೋಶ
1,level5,Shopping Vocabulary,kannadaExplanation,ಶಾಪಿಂಗ್‌ಗಾಗಿ ಶಬ್ದಗಳನ್ನು ಕಲಿಯಿರಿ.
2,level5,Shopping Conversations,kannadaTitle,ಶಾಪಿಂಗ್ ಸಂಭಾಷಣೆಗಳು
2,level5,Shopping Conversations,kannadaExplanation,ಶಾಪಿಂಗ್ ಮಾಡುವಾಗ ಹೇಗೆ ಮಾತನಾಡಬೇಕು.
3,level5,Phone Conversations,kannadaTitle,ದೂರವಾಣಿ ಸಂಭಾಷಣೆಗಳು
3,level5,Phone Conversations,kannadaExplanation,ಇಂಗ್ಲಿಷ್‌ನಲ್ಲಿ ದೂರವಾಣಿಯಲ್ಲಿ ಹೇಗೆ ಮಾತನಾಡಬೇಕು.
4,level5,Restaurant Vocabulary,kannadaTitle,ರೆಸ್ಟೋರೆಂಟ್ ಶಬ್ದಕೋಶ
4,level5,Restaurant Vocabulary,kannadaExplanation,ರೆಸ್ಟೋರೆಂಟ್‌ನಲ್ಲಿ ಊಟ ಮಾಡಲು ಶಬ್ದಗಳು.
5,level5,Ordering Food,kannadaTitle,ಆಹಾರ ಆರ್ಡರ್ ಮಾಡುವುದು
5,level5,Ordering Food,kannadaExplanation,ರೆಸ್ಟೋರೆಂಟ್‌ನಲ್ಲಿ ಆಹಾರವನ್ನು ಹೇಗೆ ಆರ್ಡರ್ ಮಾಡಬೇಕು.
6,level5,Travel Vocabulary,kannadaTitle,ಪ್ರಯಾಣ ಶಬ್ದಕೋಶ
6,level5,Travel Vocabulary,kannadaExplanation,ಪ್ರಯಾಣಕ್ಕಾಗಿ ಶಬ್ದಗಳು.
7,level5,Asking for Directions,kannadaTitle,ದಿಕ್ಕು ಕೇಳುವುದು
7,level5,Asking for Directions,kannadaExplanation,ದಿಕ್ಕನ್ನು ಕೇಳಲು ಮತ್ತು ನೀಡಲು ಹೇಗೆ.
8,level5,Emergency Situations,kannadaTitle,ತುರ್ತು ಪರಿಸ್ಥಿತಿಗಳು
8,level5,Emergency Situations,kannadaExplanation,ತುರ್ತು ಪರಿಸ್ಥಿತಿಗಳಲ್ಲಿ ಏನು ಹೇಳಬೇಕು.
9,level5,Banking Vocabulary,kannadaTitle,ಬ್ಯಾಂಕಿಂಗ್ ಶಬ್ದಕೋಶ
9,level5,Banking Vocabulary,kannadaExplanation,ಬ್ಯಾಂಕಿಂಗ್ ವಹಿವಾಟುಗಳಿಗಾಗಿ ಶಬ್ದಗಳು.
10,level5,Medical Situations,kannadaTitle,ವೈದ್ಯಕೀಯ ಪರಿಸ್ಥಿತಿಗಳು
10,level5,Medical Situations,kannadaExplanation,ವೈದ್ಯರೊಂದಿಗೆ ಹೇಗೆ ಮಾತನಾಡಬೇಕು.
11,level5,Hotel Check-in,kannadaTitle,ಹೋಟೆಲ್ ಚೆಕ್-ಇನ್
11,level5,Hotel Check-in,kannadaExplanation,ಹೋಟೆಲ್‌ಗೆ ಹೇಗೆ ಚೆಕ್-ಇನ್ ಮಾಡಬೇಕು.
12,level5,Making Complaints,kannadaTitle,ದೂರುಗಳನ್ನು ಮಾಡುವುದು
12,level5,Making Complaints,kannadaExplanation,ವಿನಮ್ರವಾಗಿ ದೂರುಗಳನ್ನು ಹೇಗೆ ಮಾಡಬೇಕು.
13,level5,Post Office,kannadaTitle,ಅಂಚೆ ಕಚೇರಿ
13,level5,Post Office,kannadaExplanation,ಅಂಚೆ ಕಚೇರಿಯಲ್ಲಿ ಹೇಗೆ ಸಂವಹಿಸಿಕೊಳ್ಳಬೇಕು.
14,level5,At the Airport,kannadaTitle,ವಿಮಾನ ನಿಲ್ದಾಣದಲ್ಲಿ
14,level5,At the Airport,kannadaExplanation,ವಿಮಾನ ನಿಲ್ದಾಣದಲ್ಲಿ ಹೇಗೆ ಸಂವಹಿಸಿಕೊಳ್ಳಬೇಕು.
15,level5,Level 5 Test,kannadaTitle,Level 5 ಪರೀಕ್ಷೆ
15,level5,Level 5 Test,kannadaExplanation,ನಿಮ್ಮ ವಾಸ್ತವ ಜಗತ್ತಿನ ಇಂಗ್ಲಿಷ್ ಅನ್ನು ಪರೀಕ್ಷಿಸಿ.
1,level6,Describing People,kannadaTitle,ಜನರನ್ನು ವಿವರಿಸುವುದು
1,level6,Describing People,kannadaExplanation,ಜನರ ಬಾಹ್ಯ ರೂಪವನ್ನು ಹೇಗೆ ವಿವರಿಸಬೇಕು.
2,level6,Personality Adjectives,kannadaTitle,ವ್ಯಕ್ತಿತ್ವ ವಿಶೇಷಣಗಳು
2,level6,Personality Adjectives,kannadaExplanation,ವ್ಯಕ್ತಿತ್ವವನ್ನು ವಿವರಿಸಲು ಪದಗಳು.
3,level6,Describing Places,kannadaTitle,ಸ್ಥಳಗಳನ್ನು ವಿವರಿಸುವುದು
3,level6,Describing Places,kannadaExplanation,ವಿವಿಧ ಸ್ಥಳಗಳನ್ನು ಹೇಗೆ ವಿವರಿಸಬೇಕು.
4,level6,Weather Descriptions,kannadaTitle,ಹವಾಮಾನ ವಿವರಣೆ
4,level6,Weather Descriptions,kannadaExplanation,ಹವಾಮಾನದ ಬಗ್ಗೆ ಮಾತನಾಡುವುದು.
5,level6,Expressing Opinions,kannadaTitle,ಅಭಿಪ್ರಾಯಗಳನ್ನು ವ್ಯಕ್ತಪಡಿಸುವುದು
5,level6,Expressing Opinions,kannadaExplanation,ನಿಮ್ಮ ಅಭಿಪ್ರಾಯವನ್ನು ಹೇಗೆ ನೀಡಬೇಕು.
6,level6,Agreeing and Disagreeing,kannadaTitle,ಒಪ್ಪುಗೆ ಮತ್ತು ಭಿನ್ನಾಭಿಪ್ರಾಯ
6,level6,Agreeing and Disagreeing,kannadaExplanation,ಒಪ್ಪುವ ಮತ್ತು ಒಪ್ಪದಿರುವ ವಿನಮ್ರ ಮಾರ್ಗಗಳು.
7,level6,Telling Past Stories,kannadaTitle,ಭೂತಕಾಲದ ಕಥೆಗಳನ್ನು ಹೇಳುವುದು
7,level6,Telling Past Stories,kannadaExplanation,ಭೂತಕಾಲದ ಬಗ್ಗೆ ಕಥೆಗಳನ್ನು ಹೇಗೆ ಹೇಳಬೇಕು.
8,level6,Comparing Things,kannadaTitle,ವಸ್ತುಗಳನ್ನು ಹೋಲಿಸುವುದು
8,level6,Comparing Things,kannadaExplanation,ಹೋಲಿಕೆಗಳು ಮತ್ತು ಅತ್ಯುತ್ತಮಗಳನ್ನು ಬಳಸುವುದು.
9,level6,Describing Experiences,kannadaTitle,ಅನುಭವಗಳನ್ನು ವಿವರಿಸುವುದು
9,level6,Describing Experiences,kannadaExplanation,ನಿಮ್ಮ ಅನುಭವಗಳ ಬಗ್ಗೆ ಮಾತನಾಡುವುದು.
10,level6,Giving Reasons,kannadaTitle,ಕಾರಣಗಳನ್ನು ನೀಡುವುದು
10,level6,Giving Reasons,kannadaExplanation,"because, so, therefore ಬಳಸುವುದು."
11,level6,Describing Feelings,kannadaTitle,ಭಾವನೆಗಳನ್ನು ವಿವರಿಸುವುದು
11,level6,Describing Feelings,kannadaExplanation,ಭಾವನೆಗಳ ಬಗ್ಗೆ ಹೇಗೆ ಮಾತನಾಡಬೇಕು.
12,level6,Level 6 Test,kannadaTitle,Level 6 ಪರೀಕ್ಷೆ
12,level6,Level 6 Test,kannadaExplanation,ನಿಮ್ಮ ವಿವರಣಾತ್ಮಕ ಇಂಗ್ಲಿಷ್ ಅನ್ನು ಪರೀಕ್ಷಿಸಿ.
1,level7,Office Vocabulary,kannadaTitle,ಕಚೇರಿ ಶಬ್ದಕೋಶ
